,name,gsis_id,pfr_id
0,Caleb Williams,00-0039918,WillCa03
1,Drake Maye,00-0039851,MayeDr00
2,Jayden Daniels,00-0039910,DaniJa02
3,Bo Nix,00-0039732,NixxBo00
4,Michael Penix Jr.,00-0039917,PeniMi00
5,J.J. McCarthy,00-0039923,McCaJJ00
6,Joe Milton,00-0039398,MiltJo00
7,Spencer Rattler,00-0039376,RattSp00
8,Sam Hartman,00-0039677,
9,Michael Pratt,00-0039238,PratMi00
10,Jordan Travis,00-0039797,TravJo00
11,Taulia Tagovailoa,,
12,Devin Leary,00-0039801,LearDe00
13,Jack Plummer,00-0039501,
14,Blake Corum,00-0039738,CoruBl00
15,Trey Benson,00-0039921,BensTr01
16,Audric Estime,00-0039373,EstiAu00
17,Braelon Allen,00-0039794,AlleBr05
18,Jonathon Brooks,00-0039344,BrooJo02
19,Bucky Irving,00-0039361,IrviBu00
20,Frank Gore Jr.,00-0039471,
21,Cody Schrader,00-0039703,
22,Will Shipley,00-0039746,ShipWi00
23,Miyan Williams,,
24,Ray Davis,00-0039875,DaviRa04
25,MarShawn Lloyd,00-0039811,LloyMa00
26,Jase McClellan,00-0039393,McClJa05
27,Kendall Milton,00-0039266,
28,Jabari Small,00-0039652,
29,George Holani,00-0039299,
30,Dillon Johnson,00-0039647,
31,Jaylen Wright,00-0039874,WrigJa04
32,Emani Bailey,00-0039311,
33,Carson Steele,00-0039325,
34,Dylan Laube,00-0039407,LaubDy00
35,Marvin Harrison Jr.,00-0039849,HarrMa09
36,Malik Nabers,00-0039337,NabeMa00
37,Rome Odunze,00-0039919,OdunRo00
38,Keon Coleman,00-0039901,ColeKe02
39,Brian Thomas Jr.,00-0039893,ThomBr06
40,Troy Franklin,00-0039868,FranTr00
41,Xavier Worthy,00-0039894,WortXa00
42,Devontez Walker,00-0039792,WalkDe01
43,Ricky Pearsall,00-0039916,PearRi00
44,Brenden Rice,00-0039415,RiceBr00
45,Jamari Thrash,00-0039379,ThraJa01
46,Johnny Wilson,00-0039236,WilsJo03
47,Adonai Mitchell,00-0039890,MitcAd00
48,Ladd McConkey,00-0039915,McCoLa00
49,Jalen McMillan,00-0039855,McMiJa01
50,Roman Wilson,00-0039739,WilsRo02
51,Isaiah Williams,00-0039451,
52,Ja'Lynn Polk,00-0039907,PolkJa00
53,Jermaine Burton,00-0039810,BurtJe01
54,Jordan Whittington,00-0039751,WhitJo04
55,Xavier Weaver,00-0039521,
56,Luke McCaffrey,00-0039355,McCaLu00
57,Malachi Corley,00-0039920,CorlMa00
58,Javon Baker,00-0039853,BakeJa00
59,Zakhari Franklin,,
60,Xavier Legette,00-0039342,LegeXa00
61,Jacob Cowing,00-0039365,CowiJa00
62,Brock Bowers,00-0039338,BoweBr01
63,Cade Stover,00-0039359,StovCa00
64,Ja'Tavion Sanders,00-0039356,SandJa01
65,Ben Sinnott,00-0039912,SinnBe00
66,Erick All,00-0039814,AllxEr00
67,Jaheim Bell,00-0039420,BellJa00
68,Brevyn Spann-Ford,00-0039530,
69,Jared Wiley,00-0039824,WileJa00
70,Theo Johnson,00-0039847,JohnTh00
71,Dallas Turner,00-0039924,TurnDa01
72,Laiatu Latu,00-0039340,LatuLa00
73,Bralen Trice,00-0039837,TricBr00
74,Jared Verse,00-0039852,VersJa00
75,Jonah Elliss,00-0039809,ElliJo03
76,Chop Robinson,00-0039911,RobiCh00
77,Chris Braswell,00-0039902,BrasCh01
78,Brandon Dorlus,00-0039859,DorlBr00
79,Xavier Thomas,00-0039367,ThomXa01
80,Gabriel Murphy,00-0039715,
81,Darius Robinson,00-0039854,RobiDa01
82,Michael Hall Jr.,00-0039895,HallMi00
83,Kris Jenkins,00-0039908,JenkKr01
84,Justin Eboigbe,00-0039835,EboiJu00
85,Jeremiah Trotter Jr.,00-0039826,TrotJe01
86,Junior Colson,00-0039346,ColsJu00
87,Tommy Eichenberg,00-0039374,EichTo00
88,Cedric Gray,00-0039858,GrayCe00
89,Steele Chambers,00-0039440,
90,Jaylan Ford,00-0039388,FordJa02
91,Kool-Aid McKinstry,00-0039860,McKiKo00
92,Terrion Arnold,00-0039903,ArnoTe00
93,Kamari Lassiter,00-0039343,LassKa00
94,Nate Wiggins,00-0039232,WiggNa00
95,Kalen King,00-0039239,KingKa00
96,Cooper DeJean,00-0039841,DeJeCo00
97,Kamren Kinchens,00-0039834,KincKa00
98,Javon Bullard,00-0039867,BullJa00
99,Sione Vaki,00-0039364,VakiSi00
